image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
instructions,cycles,branches,cache-referencs,cache-misses
66.412.484,47.082.987,6.647.508,2.222.300,375.873
66.466.486,46.314.200,6.661.721,2.131.363,357.661
66.505.309,46.488.864,6.672.687,2.221.921,373.980
66.428.511,47.102.438,6.654.943,2.130.875,388.608
66.515.078,46.390.784,6.674.425,2.198.190,383.578
66.470.543,46.072.770,6.661.946,2.194.818,360.293
66.488.694,48.018.725,6.669.731,2.205.273,372.081
66.562.174,46.240.923,6.692.605,2.151.390,373.105
66.507.635,46.977.630,6.672.663,2.211.700,377.756
66.383.719,45.848.513,6.642.668,2.184.232,359.007
image_name:kodim19,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses
66.385.815,46.829.851,6.637.847,2.168.582,383.408
66.378.065,47.432.517,6.636.240,2.195.575,380.454
66.501.838,45.580.888,6.682.465,2.161.873,363.217
66.370.556,46.546.695,6.634.786,2.194.990,374.888
66.406.833,46.308.636,6.641.570,2.188.123,375.639
66.440.437,46.541.716,6.647.240,2.178.231,388.689
66.353.434,47.740.066,6.627.577,2.174.825,394.301
66.377.180,45.882.681,6.636.660,2.178.348,366.967
66.411.423,46.619.751,6.655.121,2.118.052,386.014
66.506.794,45.338.544,6.673.502,2.176.118,358.537
image_name:kodim20,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
62.833.737,45.289.949,5.257.220,2.204.016,382.213
62.864.206,51.692.338,5.264.186,2.163.104,422.324
63.117.853,47.413.130,5.303.178,2.199.561,395.858
62.847.830,46.998.973,5.261.192,2.158.745,402.818
62.805.301,44.923.086,5.238.997,2.196.261,374.835
62.826.587,44.649.248,5.243.514,2.179.515,376.746
62.779.369,45.002.535,5.239.868,2.174.303,395.255
62.730.244,44.363.738,5.230.685,2.220.812,362.806
62.759.784,44.919.175,5.231.262,2.212.444,375.676
62.801.935,44.444.848,5.244.629,2.189.974,367.957
image_name:kodim21,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
62.774.140,46.959.229,5.233.039,2.169.478,406.579
62.738.628,46.194.300,5.231.462,2.193.544,386.739
62.780.282,46.327.390,5.234.547,2.129.161,411.018
62.843.240,45.304.956,5.260.022,2.118.443,394.185
62.752.700,45.703.583,5.230.743,2.140.356,383.497
62.732.811,44.769.181,5.227.308,2.207.410,370.276
62.859.839,45.369.484,5.262.733,2.153.909,378.515
63.089.427,45.926.201,5.290.329,2.161.146,408.909
