image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
66.615.384,47.323.444,6.005.288,2.194.707,397.718,"0,014414299"
image_name:kodim21,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
65.730.076,52.221.797,5.831.246,2.070.569,424.410,"0,016269066"
66.695.136,47.520.118,6.019.020,2.199.699,377.025,"0,014833374"
67.415.280,47.982.236,6.159.385,2.148.763,385.809,"0,014564002"
67.623.019,47.266.774,6.202.082,2.124.704,385.827,"0,014168476"
65.664.829,46.305.348,5.820.150,2.222.307,378.380,"0,014494566"
65.689.835,45.902.877,5.824.032,2.180.428,369.373,"0,013347220"
62.737.902,45.262.699,5.222.673,2.166.338,392.073,"0,013851795"
67.181.918,46.477.744,6.104.561,2.205.615,367.637,"0,013736804"
66.656.853,46.604.284,6.013.095,2.209.722,371.808,"0,014004436"
66.624.362,47.701.755,6.005.939,2.184.462,400.348,"0,014436705"
image_name:kodim22,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
67.324.557,47.892.682,6.140.918,2.175.098,390.945,"0,015083607"
66.723.584,46.868.589,6.025.655,2.244.498,380.436,"0,014078862"
66.699.691,46.938.575,6.021.321,2.196.168,377.772,"0,013597804"
62.768.167,44.725.972,5.232.891,2.208.302,375.777,"0,013520238"
62.766.558,45.119.276,5.227.329,2.179.364,379.286,"0,013285552"
67.143.891,46.749.866,6.098.529,2.191.124,370.430,"0,014152391"
62.791.079,44.890.015,5.245.213,2.183.901,381.715,"0,012714260"
67.192.094,47.168.095,6.106.882,2.166.240,387.463,"0,015450171"
62.802.820,44.733.240,5.248.213,2.188.427,371.525,"0,012520973"
67.122.013,46.632.864,6.093.674,2.176.046,368.961,"0,013513240"
image_name:kodim23,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
65.821.079,47.768.223,5.842.438,2.152.480,401.676,"0,014515272"
66.645.431,47.414.575,6.010.027,2.222.082,379.904,"0,015193233"
66.617.164,47.357.381,6.005.580,2.210.068,381.768,"0,014477060"
62.814.938,45.577.427,5.240.429,2.200.347,378.841,"0,013860726"
66.589.082,47.191.476,5.999.826,2.224.239,373.241,"0,013944952"
62.832.430,45.568.422,5.253.444,2.196.377,384.028,"0,013854534"
62.726.576,44.675.303,5.224.629,2.194.824,378.781,"0,013105415"
62.877.365,45.665.700,5.260.342,2.159.494,386.681,"0,012998886"
67.245.962,46.822.775,6.131.856,2.207.489,374.873,"0,014475740"
62.823.417,46.239.690,5.241.804,2.175.160,384.188,"0,014050003"
image_name:kodim24,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
62.770.332,46.897.233,5.233.170,2.173.565,378.400,"0,015411889"
62.805.065,45.101.982,5.238.995,2.227.632,380.960,"0,013735168"
67.283.891,47.396.582,6.127.026,2.211.539,380.142,"0,014610728"
67.175.121,47.878.609,6.109.418,2.210.745,374.097,"0,014739257"
66.692.882,47.776.274,6.015.473,2.120.047,405.295,"0,015080889"
67.237.447,47.068.964,6.133.857,2.215.718,370.387,"0,014113869"
67.096.020,46.238.412,6.102.229,2.191.260,387.674,"0,014358043"
67.636.920,47.181.989,6.223.019,2.193.037,391.091,"0,014282585"
66.644.735,46.648.584,6.007.186,2.200.463,370.009,"0,014365024"
62.765.199,45.573.135,5.232.485,2.170.748,390.614,"0,013978419"
