image_name:Brain2.pgm,"image_size(width,height):(675, 901)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
145.727.737,141.931.684,11.600.507,6.712.840,1.877.776,"0,049121804"
145.575.436,116.445.135,11.575.701,5.716.643,1.130.779,"0,033060543"
146.200.066,118.345.781,11.705.072,5.809.936,1.164.397,"0,034032002"
146.792.726,171.875.609,11.812.824,7.062.183,2.473.751,"0,065524156"
145.623.535,117.340.330,11.584.456,5.709.452,1.137.255,"0,036491666"
145.549.385,117.586.030,11.571.624,6.040.000,1.169.524,"0,034783035"
149.593.721,128.600.470,12.284.940,6.274.377,1.307.437,"0,037751125"
image_name:ultrasound.pgm,"image_size(width,height):(895, 597)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
316.184.170,109.061.568,22.515.629,1.263.208,564.372,"0,035006307"
316.195.397,110.497.902,22.517.723,1.260.413,580.549,"0,032282551"
316.173.956,109.102.204,22.512.877,1.265.217,577.278,"0,030555864"
316.558.107,110.691.200,22.609.664,1.257.912,574.832,"0,032202134"
316.154.443,109.620.060,22.510.018,1.254.670,578.989,"0,032112630"
316.201.284,109.665.675,22.517.906,1.262.263,571.992,"0,032556919"
316.172.075,110.273.175,22.519.920,1.260.698,575.788,"0,032561164"
316.198.450,109.890.431,22.523.479,1.259.690,577.525,"0,031794187"
316.922.499,111.293.747,22.676.721,1.272.494,593.578,"0,033108275"
316.145.335,109.314.822,22.508.600,1.257.799,589.541,"0,032643505"
