image_name:Brain2.pgm,"image_size(width,height):(675, 901)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
190.794.459,60.450.568,11.428.120,56.614,25.522,"0,018358815"
190.769.548,59.777.990,11.425.455,56.129,23.371,"0,017806213"
190.773.684,60.659.018,11.424.655,60.326,24.971,"0,019259794"
190.813.294,60.789.004,11.432.167,62.606,25.637,"0,018582253"
190.787.600,60.011.325,11.427.912,59.605,22.675,"0,017343791"
190.799.998,59.819.754,11.428.856,55.948,20.806,"0,018260228"
190.788.799,61.416.519,11.427.608,59.556,24.178,"0,018732039"
image_name:bone_scint.pgm,"image_size(width,height):(1129, 1865)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
969.436.752,289.981.951,57.733.096,182.671,87.179,"0,080725225"
969.623.386,291.382.945,57.769.262,194.915,90.184,"0,086865653"
969.712.378,359.891.042,57.775.379,277.681,113.185,"0,108437021"
969.619.563,294.618.456,57.770.018,209.947,90.888,"0,093297232"
969.719.943,333.236.625,57.783.874,303.190,99.830,"0,101177681"
969.541.547,290.609.907,57.750.491,189.545,88.514,"0,090212674"
969.476.287,290.107.473,57.742.568,186.478,88.063,"0,080536718"
969.493.009,290.594.221,57.743.472,193.492,90.881,"0,080641028"
969.471.001,290.212.986,57.739.628,190.741,89.840,"0,079630407"
969.521.715,290.955.288,57.749.163,197.049,92.201,"0,081496818"
image_name:brickwall.bmp,"image_size(width,height):(1024, 1024)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
494.134.011,148.747.028,28.790.629,105.190,47.974,"0,045319296"
494.109.200,149.538.077,28.785.499,107.935,47.803,"0,042882003"
494.100.321,148.722.428,28.785.334,107.249,45.890,"0,042748330"
494.096.329,149.777.624,28.782.384,104.488,46.721,"0,042870463"
494.058.971,147.679.415,28.776.598,97.183,44.983,"0,041204242"
494.102.495,147.698.388,28.784.972,101.549,45.535,"0,041986986"
494.144.605,148.615.664,28.790.639,105.179,46.893,"0,044110883"
494.182.212,148.674.651,28.794.866,111.922,48.630,"0,045599302"
494.162.556,154.081.349,28.793.669,125.885,57.010,"0,046006137"
494.234.484,150.812.469,28.805.849,128.675,51.471,"0,045496973"
image_name:carpet.bmp,"image_size(width,height):(1024, 1024)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
494.230.814,157.696.142,28.788.237,101.326,49.493,"0,046057725"
494.244.719,160.791.848,28.787.600,118.933,49.357,"0,046881004"
494.261.299,159.274.229,28.792.897,115.285,48.366,"0,046890439"
494.220.724,156.675.956,28.784.913,100.086,45.472,"0,044691100"
494.283.244,158.553.256,28.794.927,113.351,48.992,"0,046579374"
494.190.043,156.993.973,28.779.586,100.576,45.672,"0,043369176"
494.271.993,158.306.229,28.793.748,118.502,48.341,"0,044903879"
494.280.606,159.427.463,28.793.847,120.162,53.813,"0,045793420"
494.253.382,158.247.574,28.789.559,115.009,49.756,"0,045027459"
494.228.549,156.943.984,28.786.089,104.540,46.864,"0,043923953"
image_name:girl.ppm,"image_size(width,height):(720, 576)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
190.755.627,58.284.921,11.424.624,53.232,22.907,"0,017625009"
190.770.556,57.952.779,11.427.073,57.954,25.481,"0,017664130"
190.717.450,58.073.820,11.416.295,52.041,22.327,"0,017886999"
190.725.596,58.008.467,11.417.778,53.959,21.883,"0,017565377"
190.700.769,57.861.252,11.413.905,51.066,21.319,"0,017129834"
190.817.457,58.710.726,11.434.415,59.428,24.436,"0,018040583"
190.746.072,57.814.932,11.422.371,53.149,21.283,"0,017068275"
190.763.096,59.516.800,11.425.213,59.571,23.992,"0,019529142"
190.755.907,58.019.873,11.423.707,52.338,23.232,"0,017648180"
190.705.163,58.531.022,11.415.033,57.055,24.517,"0,017605374"
image_name:lenna.ppm,"image_size(width,height):(512, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
123.445.146,37.516.396,7.249.209,39.561,15.887,"0,012038800"
123.406.848,39.178.874,7.242.436,46.739,18.308,"0,012603885"
123.415.238,37.462.573,7.243.957,40.126,15.975,"0,011390462"
123.446.031,37.703.036,7.248.260,39.963,14.878,"0,011579043"
123.488.775,37.600.740,7.259.060,45.128,16.250,"0,011228704"
123.416.805,37.752.216,7.244.246,40.204,15.754,"0,013039997"
123.437.930,37.768.675,7.247.995,39.759,16.458,"0,011984586"
123.423.073,37.804.694,7.245.078,44.653,15.717,"0,011649134"
123.422.340,37.660.525,7.246.148,40.185,15.295,"0,011574536"
123.495.326,37.581.505,7.259.463,40.558,14.881,"0,012086079"
image_name:man.pgm,"image_size(width,height):(1024, 1024)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
494.133.327,154.082.444,28.785.718,117.915,57.577,"0,046555059"
494.132.488,149.852.095,28.790.767,106.313,47.352,"0,044526386"
494.101.947,149.285.142,28.782.492,105.310,47.988,"0,042244123"
494.096.421,148.980.323,28.779.642,102.030,47.038,"0,043239042"
494.134.847,151.051.606,28.786.990,111.384,48.410,"0,046640632"
494.100.267,148.962.916,28.781.874,102.772,46.041,"0,041748835"
494.159.220,149.424.610,28.791.458,106.704,48.142,"0,043120009"
494.162.811,149.418.268,28.795.690,106.359,47.988,"0,044345836"
494.260.748,155.459.792,28.811.459,140.219,55.202,"0,047378671"
494.222.193,152.736.190,28.801.492,127.304,51.344,"0,045228575"
image_name:monarch.ppm,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.284.578,59.280.443,10.842.021,50.971,21.067,"0,017853741"
199.223.859,59.110.061,10.832.472,49.303,23.317,"0,018645619"
199.297.371,59.073.629,10.844.426,52.379,21.778,"0,017929085"
199.223.434,59.462.153,10.831.491,53.012,21.429,"0,018101608"
199.243.908,59.242.627,10.835.312,51.627,20.526,"0,017784947"
199.285.168,59.462.453,10.844.652,55.911,21.869,"0,018190970"
199.270.139,59.191.084,10.840.310,51.880,21.390,"0,017639595"
199.272.274,59.829.123,10.842.488,58.284,23.645,"0,018594946"
199.235.973,59.469.974,10.834.838,52.121,20.954,"0,018004556"
199.201.999,61.172.325,10.827.998,56.075,21.521,"0,018785597"
image_name:shoulderCR.pgm,"image_size(width,height):(1162, 684)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
365.666.365,109.861.174,21.829.102,80.189,36.188,"0,032433358"
365.676.689,109.737.313,21.829.703,81.280,36.151,"0,033034858"
365.660.083,112.635.058,21.825.924,95.406,39.869,"0,034169928"
365.652.392,109.908.946,21.826.239,80.557,37.369,"0,032325196"
365.629.200,110.989.910,21.820.875,88.664,43.126,"0,032931493"
365.614.441,110.709.382,21.819.476,86.781,36.907,"0,032290976"
365.650.884,109.939.885,21.826.642,83.635,39.783,"0,033173832"
365.676.214,109.751.347,21.830.354,85.373,36.392,"0,033390618"
365.638.398,110.755.507,21.823.342,83.423,40.452,"0,032437970"
365.682.157,110.583.419,21.830.690,86.023,37.674,"0,032696804"
image_name:textureA.bmp,"image_size(width,height):(1024, 1024)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
494.117.141,146.994.575,28.789.222,103.678,52.093,"0,048141876"
494.100.402,148.384.010,28.790.102,106.742,48.376,"0,044571084"
494.084.985,148.558.236,28.782.387,113.848,47.960,"0,045023973"
494.027.557,146.359.386,28.773.815,96.717,45.176,"0,040420128"
494.126.957,150.656.286,28.790.500,112.809,48.416,"0,045801179"
494.267.868,186.103.034,28.813.625,164.264,67.452,"0,057254507"
494.135.629,152.344.401,28.791.931,122.214,50.292,"0,043224678"
494.232.533,150.720.064,28.808.248,126.388,58.130,"0,045456552"
494.201.616,146.506.656,28.805.144,102.843,46.515,"0,044831921"
494.103.946,148.822.380,28.791.190,111.978,47.061,"0,045603863"
image_name:ultrasound.pgm,"image_size(width,height):(895, 597)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
245.774.607,73.286.697,14.696.998,61.358,27.327,"0,022392408"
245.802.504,73.450.358,14.701.302,65.348,27.097,"0,020585321"
245.812.182,77.040.821,14.703.297,77.424,28.641,"0,024282911"
245.802.769,76.430.072,14.703.886,69.712,26.435,"0,023797099"
245.815.658,79.428.783,14.703.725,85.262,31.246,"0,024315461"
245.750.366,73.432.146,14.692.674,61.621,25.514,"0,021492721"
245.775.187,74.628.612,14.697.548,69.504,29.494,"0,022762939"
245.869.383,73.942.477,14.716.759,69.951,27.451,"0,021726035"
245.758.120,74.219.222,14.693.555,69.531,29.518,"0,022648750"
245.806.523,73.388.212,14.704.687,65.040,26.980,"0,021673201"
