image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.223.412,59.656.633,10.832.237,48.089,19.668,"0,017917078"
199.269.585,59.286.951,10.840.410,54.122,22.897,"0,017739646"
199.255.422,59.471.090,10.837.426,50.935,23.244,"0,020417649"
199.232.065,59.261.572,10.834.042,51.740,22.717,"0,017745797"
image_name:kodim12,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.285.421,58.724.493,10.844.734,52.973,22.227,"0,018105179"
199.183.022,58.713.215,10.826.057,51.674,22.946,"0,016986663"
199.249.885,58.594.418,10.838.530,50.244,21.940,"0,017292909"
199.218.247,58.751.290,10.831.947,53.721,21.962,"0,017783352"
199.237.866,58.664.590,10.836.528,50.034,21.108,"0,017602138"
199.240.859,58.848.942,10.837.074,55.368,22.145,"0,017973876"
199.269.751,58.724.151,10.841.980,53.260,21.993,"0,017601501"
199.487.091,58.955.211,10.886.279,53.211,22.907,"0,017965598"
199.250.470,58.532.698,10.839.555,49.832,22.185,"0,017544428"
199.215.269,58.407.820,10.831.157,51.945,23.300,"0,017389334"
image_name:kodim13,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.268.306,61.509.064,10.835.798,53.555,20.515,"0,020578209"
199.304.882,61.013.367,10.842.099,50.214,20.207,"0,018544544"
199.274.331,61.185.119,10.835.902,55.725,21.044,"0,018576163"
199.524.135,61.197.199,10.885.485,52.930,22.367,"0,018275823"
199.284.889,60.930.893,10.838.297,49.501,22.873,"0,018402993"
199.277.855,61.563.954,10.836.334,55.176,22.012,"0,018729848"
199.325.126,61.044.874,10.845.087,56.665,22.678,"0,017924714"
199.311.220,62.764.429,10.843.052,56.034,20.702,"0,018397813"
199.290.845,61.160.155,10.839.144,53.662,21.462,"0,018039030"
199.303.705,61.237.447,10.840.853,54.352,24.181,"0,018849562"
image_name:kodim14,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.287.215,59.753.811,10.843.405,54.088,22.598,"0,018070428"
199.282.801,61.203.106,10.842.722,60.219,23.587,"0,018452937"
199.239.050,59.394.875,10.835.365,53.017,22.383,"0,018204085"
199.233.351,59.507.924,10.833.429,53.218,20.113,"0,017775533"
199.264.984,59.469.151,10.838.407,52.249,21.975,"0,017800402"
199.281.044,59.986.290,10.842.272,54.282,21.046,"0,018635188"
199.228.964,59.305.531,10.831.423,49.704,20.187,"0,018362623"
199.246.017,60.244.332,10.835.416,54.506,23.943,"0,018668135"
199.257.132,59.313.689,10.839.521,48.845,20.524,"0,017755823"
199.258.579,59.740.182,10.839.200,52.051,22.897,"0,018217744"
image_name:kodim15,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.279.401,58.908.540,10.843.425,53.271,20.980,"0,017468185"
199.230.934,59.039.619,10.835.858,51.778,22.866,"0,018027379"
199.275.246,58.871.280,10.843.149,50.447,21.493,"0,017719028"
199.241.197,58.858.257,10.837.265,51.058,20.547,"0,018575272"
199.249.073,58.758.798,10.838.298,52.075,20.496,"0,017450662"
199.287.100,59.873.808,10.843.965,59.637,21.661,"0,018197191"
199.271.772,58.772.318,10.841.858,52.272,23.048,"0,017414966"
199.229.771,61.064.133,10.834.223,59.913,23.302,"0,018878451"
199.241.566,58.593.356,10.835.963,50.574,20.022,"0,017049000"
199.224.372,60.087.078,10.833.499,56.728,22.468,"0,018476621"
image_name:kodim16,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.265.348,59.208.463,10.841.857,54.840,22.182,"0,018232556"
199.234.237,58.669.170,10.836.726,51.618,22.869,"0,017539716"
199.238.687,58.609.729,10.837.354,52.315,22.769,"0,017707124"
199.334.737,58.653.622,10.855.699,51.636,20.226,"0,017087095"
199.238.631,58.476.186,10.837.491,51.870,21.579,"0,016785036"
199.338.221,59.326.991,10.856.821,58.575,22.027,"0,018095149"
199.265.735,59.689.679,10.841.677,59.610,24.353,"0,018044127"
199.343.187,61.400.211,10.855.906,66.646,25.640,"0,019042477"
199.223.323,58.454.554,10.834.858,50.840,21.463,"0,017555687"
199.271.270,60.025.975,10.842.591,59.942,23.053,"0,018625158"
image_name:kodim17,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
185.189.694,56.170.322,10.841.940,53.785,21.716,"0,017040980"
185.190.191,57.354.561,10.843.563,55.095,22.791,"0,017466815"
185.190.023,59.009.488,10.842.935,61.672,26.348,"0,018496244"
185.424.467,60.066.228,10.889.218,64.613,26.340,"0,018118787"
185.426.672,60.079.781,10.889.467,65.242,25.817,"0,018575340"
185.325.339,60.033.162,10.868.189,67.479,26.218,"0,018870039"
185.221.187,59.960.659,10.847.659,64.566,25.455,"0,019584042"
185.526.584,60.154.101,10.906.370,71.293,31.692,"0,020269714"
185.399.081,56.530.087,10.885.490,52.617,23.243,"0,017112865"
185.400.081,60.627.873,10.882.542,72.537,30.429,"0,018985861"
image_name:kodim18,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
185.154.784,57.968.848,10.835.646,52.155,25.778,"0,018054157"
185.388.383,57.503.201,10.881.445,56.639,24.604,"0,017235071"
185.196.330,57.246.692,10.842.809,52.028,23.515,"0,017293640"
185.553.154,61.045.635,10.911.498,65.292,25.642,"0,018982600"
185.162.829,57.468.253,10.837.669,54.084,25.544,"0,017842944"
185.560.248,60.874.659,10.912.288,72.775,31.774,"0,019102808"
185.518.362,60.860.818,10.905.732,65.589,28.634,"0,019217497"
