image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.229.383,58.549.244,10.834.436,51.149,20.269
image_name:kodim21,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.245.992,59.519.451,10.835.477,50.029,19.712
199.232.069,59.491.976,10.833.099,52.217,21.849
199.250.566,59.311.362,10.836.931,51.303,20.832
199.276.126,59.883.700,10.842.223,54.074,21.309
199.260.989,59.427.832,10.837.453,51.476,20.351
199.227.064,59.458.448,10.834.046,52.021,20.126
199.264.838,59.385.651,10.838.915,50.401,21.420
199.283.238,59.999.554,10.843.020,54.621,23.909
199.280.547,59.846.668,10.841.331,54.731,20.795
199.224.946,59.340.905,10.831.575,50.028,22.057
image_name:kodim22,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.250.620,58.706.385,10.839.358,51.387,19.901
199.255.656,59.262.694,10.840.088,56.038,22.541
199.204.260,59.148.979,10.829.234,52.167,21.144
199.253.024,58.670.548,10.839.041,49.532,20.721
199.222.574,61.363.593,10.833.037,56.316,20.435
199.273.201,58.916.877,10.842.960,53.482,21.534
199.200.410,58.973.849,10.828.441,49.300,21.797
199.261.664,58.734.954,10.840.151,49.287,19.908
199.214.719,59.076.641,10.831.299,50.776,19.797
199.265.096,58.903.255,10.841.096,53.072,20.188
image_name:kodim23,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.235.227,58.447.252,10.837.826,50.417,19.923
199.241.504,59.130.689,10.836.607,56.745,20.954
199.204.776,58.746.848,10.830.061,50.287,20.002
199.218.520,58.373.113,10.832.801,49.502,20.193
199.208.126,58.453.766,10.831.735,51.109,19.755
199.221.014,58.398.762,10.833.238,49.521,20.784
199.242.559,58.452.488,10.837.410,51.407,19.450
199.222.176,58.564.645,10.833.481,49.854,19.997
199.219.989,58.547.586,10.833.642,51.131,21.204
199.239.425,58.575.227,10.836.352,52.420,20.289
image_name:kodim24,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.287.044,60.194.137,10.841.240,52.165,25.402
199.265.092,60.000.752,10.837.731,53.555,24.700
199.235.717,60.148.291,10.832.308,54.504,21.116
199.242.943,59.933.089,10.833.733,50.847,20.504
199.261.989,59.625.455,10.838.712,48.697,19.903
199.279.041,60.100.401,10.842.152,51.519,21.028
199.231.040,59.780.087,10.834.147,50.373,20.416
199.281.703,59.728.660,10.840.609,49.892,19.795
199.242.737,59.794.578,10.834.520,52.790,21.372
199.245.517,59.606.343,10.835.125,50.847,20.150
